2020-06-15 08:31:09,745 | DEBUG | ulauncher.utils.semver: replace_stars() | replaceStars >=2.0.0 <3.0.0 False
2020-06-15 08:31:09,745 | DEBUG | ulauncher.utils.semver: parse_comparator() | stars >=2.0.0 <3.0.0
2020-06-15 08:31:09,745 | DEBUG | ulauncher.utils.semver: __init__() | comparator: >=2.0.0 False
2020-06-15 08:31:09,745 | DEBUG | ulauncher.utils.semver: parse() | parse comp=>=2.0.0
2020-06-15 08:31:09,745 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2020-06-15 08:31:09,745 | DEBUG | ulauncher.utils.semver: __init__() | comparator: <3.0.0 False
2020-06-15 08:31:09,745 | DEBUG | ulauncher.utils.semver: parse() | parse comp=<3.0.0
2020-06-15 08:31:09,745 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 3.0.0, False
2020-06-15 08:31:09,745 | DEBUG | ulauncher.utils.semver: format() | Range format >=2.0.0 <3.0.0
2020-06-15 08:31:09,745 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2020-06-15 08:31:09,745 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2020-06-15 08:31:09,745 | DEBUG | ulauncher.utils.semver: cmp() | cmp: >=
2020-06-15 08:31:09,745 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 2.0.0
2020-06-15 08:31:09,746 | DEBUG | ulauncher.utils.semver: compare() | compare result 0
2020-06-15 08:31:09,746 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2020-06-15 08:31:09,746 | DEBUG | ulauncher.utils.semver: cmp() | cmp: <
2020-06-15 08:31:09,746 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 3.0.0
2020-06-15 08:31:09,746 | DEBUG | ulauncher.utils.semver: compare() | compare result -1
